iter	RMSE
0	1.09698758
1	1.078428079
2	1.060271395
3	1.042658703
4	1.025505346
5	1.008613393
6	0.9922756786
7	0.9761918198
8	0.9605377841
9	0.9448308531
10	0.9296552401
11	0.9149312837
12	0.9006073311
13	0.8867476351
14	0.8727177432
15	0.8592325096
16	0.8460114465
17	0.8331236523
18	0.8206496305
19	0.8084569407
20	0.7964628824
21	0.7849689567
22	0.7736256168
23	0.7626226705
24	0.7517087759
25	0.7409268474
26	0.7305366514
27	0.7204324961
28	0.7104233987
29	0.7004999165
30	0.6912127037
31	0.6820483981
32	0.6730790318
33	0.6639924826
34	0.655513038
35	0.6470211851
36	0.6388645562
37	0.6308495655
38	0.6228823543
39	0.615113979
40	0.6075878068
41	0.5999172113
42	0.592886813
43	0.5860919277
44	0.5792157201
45	0.572643756
46	0.5662011573
47	0.5597885155
48	0.5537410754
49	0.5477566369
50	0.5417479309
51	0.5363005475
52	0.5311539455
53	0.5257619048
54	0.5206812126
55	0.5155274624
56	0.5105583917
57	0.5058738273
58	0.5011832904
59	0.4965787367
60	0.4920674614
61	0.4876172718
62	0.4832937009
63	0.4792752308
64	0.4753239556
65	0.4712930382
66	0.4674633023
67	0.4638505363
68	0.4602956558
69	0.4567952297
70	0.4533520694
71	0.4499679671
72	0.4466272924
73	0.4435356613
74	0.4404384132
75	0.4374049563
76	0.4344958922
77	0.431566546
78	0.4288654843
79	0.4261036316
80	0.4235471369
81	0.4210090445
82	0.4186102627
83	0.416183126
84	0.4138034467
85	0.4115045705
86	0.4091858134
87	0.406976151
88	0.4048372513
89	0.4029365009
90	0.4008580395
91	0.3989891368
92	0.3970976792
93	0.3952264458
94	0.3933462673
95	0.3916177258
96	0.3899489042
97	0.3881506593
98	0.386403114
99	0.3848852881
100	0.3833499531
101	0.3818628959
102	0.3802867579
103	0.3788401622
104	0.3774448988
105	0.3761120826
106	0.3748529791
107	0.3735988422
108	0.3723528499
109	0.3711797757
110	0.3697928926
111	0.3685907646
112	0.3674784016
113	0.366327724
114	0.3652606433
115	0.3642170206
116	0.3631328953
117	0.3621832131
118	0.3611733358
119	0.3602524733
120	0.3593162773
121	0.3584790593
122	0.35751878
123	0.3566633762
124	0.3556294029
125	0.3547847863
126	0.3539350585
127	0.3531546247
128	0.3524001032
129	0.3516478053
130	0.3510068046
131	0.3501571831
132	0.3494447651
133	0.3487148132
134	0.34805714
135	0.3473106498
136	0.3467456873
137	0.3460733844
138	0.3454455626
139	0.3448700741
140	0.3443079818
141	0.3437346923
142	0.3430384065
143	0.3424487538
144	0.3418825349
145	0.3412043976
146	0.34052114
147	0.3399512018
148	0.3394893696
149	0.3389376668
150	0.3383597507
151	0.3378275527
152	0.3373435402
153	0.3368247346
154	0.3362690451
155	0.3357853675
156	0.3353214217
157	0.3348788785
158	0.3344506738
159	0.3339328904
160	0.3334565426
161	0.3330461948
162	0.3326260468
163	0.332247584
164	0.3317760814
165	0.3313543815
166	0.3309120484
167	0.3304565313
168	0.3300658117
169	0.3295990268
170	0.3291726586
171	0.328792939
172	0.3283626038
173	0.3279562775
174	0.3276917391
175	0.3273106151
176	0.3268569583
177	0.3265077149
178	0.326194996
179	0.3258296035
180	0.3254303371
181	0.325115551
182	0.3248067756
183	0.3244543548
184	0.3241464306
185	0.3238240832
186	0.3234006087
187	0.3230745035
188	0.3226710309
189	0.3223751196
190	0.3220507991
191	0.3217957498
192	0.3214529377
193	0.3211566736
194	0.3208140985
195	0.3205770254
196	0.3203514814
197	0.3199406048
198	0.3196668771
199	0.3193847628
200	0.3191275949
201	0.3188398226
202	0.318506435
203	0.3182317451
204	0.3178832991
205	0.3176434744
206	0.3172980363
207	0.3170932923
208	0.3168006925
209	0.3166027496
210	0.316358956
211	0.3160510615
212	0.3157399805
213	0.3154567757
214	0.3151895861
215	0.3149632358
216	0.3147050951
217	0.3144466689
218	0.3142434694
219	0.3140550836
220	0.3138342861
221	0.3135435825
222	0.3133471618
223	0.3131095031
224	0.3128523373
225	0.3127060545
226	0.3124327734
227	0.3122095906
228	0.3120038851
229	0.3118096059
230	0.3116149322
231	0.3113529618
232	0.3111796983
233	0.3109762262
234	0.3107818431
235	0.310601769
236	0.3103639388
237	0.3100995216
238	0.3099358108
239	0.3097305931
240	0.3094911215
241	0.3092586686
242	0.3090679973
243	0.3088304738
244	0.3086686935
245	0.3084483631
246	0.308196583
247	0.3079998213
248	0.3078000746
249	0.3075714059
250	0.307421703
251	0.3072483549
252	0.307068295
253	0.3068477222
254	0.3066327815
255	0.306426562
256	0.3062270484
257	0.3060673278
258	0.3058644449
259	0.3056828589
260	0.3055498424
261	0.3053848058
262	0.3051890139
263	0.3049571255
264	0.3047946226
265	0.3046194387
266	0.3043812758
267	0.304216398
268	0.3040118576
269	0.3037880071
270	0.303553371
271	0.3033175095
272	0.3031136415
273	0.3029102299
274	0.3026635811
275	0.3024790287
276	0.3023397079
277	0.3022139094
278	0.3019186976
279	0.3017686814
280	0.3015963149
281	0.3013818589
282	0.3012131893
283	0.3010197894
284	0.3007966085
285	0.3006301543
286	0.3004509957
287	0.3002537626
288	0.3001173133
289	0.3000105179
290	0.2998724986
291	0.299665944
292	0.2993633736
293	0.2991642073
294	0.2989858979
295	0.2988011913
296	0.2987005712
297	0.2985314719
298	0.2983628633
299	0.2981288733
300	0.2979731389
301	0.2977563009
302	0.2975541377
303	0.2974015014
304	0.2972890759
305	0.297046323
306	0.2969158266
307	0.2967917692
308	0.2966435916
309	0.2964316181
310	0.296313777
311	0.2961646407
312	0.2960201628
313	0.2958424543
314	0.2956991511
315	0.2955685146
316	0.295434748
317	0.2952438894
318	0.2950675749
319	0.2948210658
320	0.2946222872
321	0.2944868574
322	0.2943051961
323	0.2940478395
324	0.2939290443
325	0.293773116
326	0.2936341625
327	0.2934810809
328	0.2933455076
329	0.2932136868
330	0.2931467037
331	0.2929666422
332	0.2928399783
333	0.2927549849
334	0.2926015887
335	0.2924721998
336	0.2923147846
337	0.2921489084
338	0.2920373574
339	0.2919195885
340	0.29173827
341	0.2916487166
342	0.2915378331
343	0.2912907086
344	0.2911822886
345	0.2910617796
346	0.2908999946
347	0.2907940563
348	0.2906361808
349	0.290528159
350	0.2903601942
351	0.2902359823
352	0.290124897
353	0.2900119637
354	0.2897980964
355	0.2896373437
356	0.2894729665
357	0.2893685609
358	0.2892278375
359	0.2891183231
360	0.2888881518
361	0.2887865358
362	0.2886924608
363	0.288562864
364	0.2884061098
365	0.2883064185
366	0.2881843931
367	0.2880859965
368	0.2879532265
369	0.287841833
370	0.2876692154
371	0.2875072641
372	0.2874153056
373	0.2872736548
374	0.2870974356
375	0.2869472446
376	0.2867477079
377	0.2866082896
378	0.2864682684
379	0.2863910043
380	0.2862806049
381	0.2862026791
382	0.2860781712
383	0.2859197738
384	0.2856956274
385	0.2855389312
386	0.2854024393
387	0.2853102696
388	0.2851010681
389	0.2849870909
390	0.2848818148
391	0.2847783176
392	0.284659215
393	0.2845061613
394	0.2843732324
395	0.2842893427
396	0.2841754882
397	0.2840612221
398	0.2839184901
399	0.2838000465
400	0.283710121
401	0.2835897862
402	0.2834617932
403	0.2833739212
404	0.283216522
405	0.2830708627
406	0.2829715483
407	0.2828411904
408	0.282722273
409	0.2826207278
410	0.2824802126
411	0.2823762864
412	0.2822124988
413	0.2821044107
414	0.2820146661
415	0.2819150346
416	0.2818013059
417	0.2817274568
418	0.2815978934
419	0.2815027415
420	0.2813821211
421	0.2812684471
422	0.2811725556
423	0.2810970111
424	0.2809211911
425	0.2808030907
426	0.2806695778
427	0.2805480119
428	0.280394764
429	0.2802918873
430	0.2801709913
431	0.2800194717
432	0.2798282167
433	0.279723328
434	0.2795523327
435	0.279469506
436	0.2793425121
437	0.2791854557
438	0.2791153533
439	0.2789778856
440	0.2788816419
441	0.2788073323
442	0.2787316763
443	0.2786363553
444	0.27850032
445	0.278412102
446	0.2783302834
447	0.2782308692
448	0.2781466969
449	0.2780237383
450	0.2779084391
451	0.2778031341
452	0.2776811
453	0.2776094502
454	0.2774816216
455	0.2773376189
456	0.2772441219
457	0.2770772712
458	0.2769609696
459	0.2768489202
460	0.2767461474
461	0.2766657579
462	0.2766029747
463	0.2765028691
464	0.2764255636
465	0.276316751
466	0.2762219547
467	0.2761141581
468	0.2760399805
469	0.2759644288
470	0.2757769427
471	0.2756698352
472	0.2755658888
473	0.2754155931
474	0.2753268
475	0.2752214484
476	0.2751339926
477	0.2750456091
478	0.2748614828
479	0.2747139025
480	0.2746369073
481	0.2745429779
482	0.274464117
483	0.2743743007
484	0.2742731646
485	0.2741377156
486	0.2740167674
487	0.2738663632
488	0.2737251554
489	0.273660644
490	0.2735500513
491	0.273433771
492	0.2733719689
493	0.2732207085
494	0.2730929338
495	0.2729636973
496	0.2728316162
497	0.2727349553
498	0.2726158587
499	0.2725577084
500	0.2724556753
501	0.2723666755
502	0.2722861704
503	0.2721841694
504	0.2720948822
505	0.2719957741
506	0.2718575355
507	0.2717806784
508	0.271709855
509	0.2716119891
510	0.2715364651
511	0.2714444495
512	0.2713437778
513	0.2711955548
514	0.2710888627
515	0.2710068969
516	0.2709111778
517	0.2708123075
518	0.2707191591
519	0.2706401565
520	0.2705717393
521	0.2705059756
522	0.2704107819
523	0.2703662189
524	0.2703000122
525	0.2702018665
526	0.2701396339
527	0.2699640294
528	0.2698697446
529	0.2697891246
530	0.2696759575
531	0.2695915982
532	0.2695208716
533	0.2694348398
534	0.2693235022
535	0.269139102
536	0.2690307825
537	0.2689268962
538	0.2688252814
539	0.2687267349
540	0.2686129648
541	0.2685336238
542	0.2684637536
543	0.2683816597
544	0.2683080688
545	0.2682086026
546	0.2681096096
547	0.2680002143
548	0.2678937231
549	0.2677842216
550	0.2676666406
551	0.2676151574
552	0.2674957192
553	0.2673933027
554	0.2672924485
555	0.2672200414
556	0.2671480967
557	0.2670557695
558	0.2669754487
559	0.2668767284
560	0.2667726355
561	0.2667154112
562	0.266666041
563	0.2665760635
564	0.2664844382
565	0.2664123572
566	0.2663223486
567	0.2662213785
568	0.2661491406
569	0.2660320627
570	0.2659571299
571	0.2658965517
572	0.2657932609
573	0.2656759368
574	0.2655043687
575	0.2654296088
576	0.2653725223
577	0.2652786956
578	0.265189118
579	0.2651266361
580	0.2649834023
581	0.2648922906
582	0.2648094036
583	0.264710107
584	0.2646441938
585	0.2645585718
586	0.2644756357
587	0.2644013201
588	0.2643300719
589	0.2642263667
590	0.2641238963
591	0.2640504536
592	0.2639595676
593	0.2638920215
594	0.2638028171
595	0.263722251
596	0.2636412252
597	0.2635907696
598	0.2635385692
599	0.2634030474
600	0.2633512351
601	0.2633148186
602	0.2632339623
603	0.2631217914
604	0.2630660042
605	0.2629871857
606	0.2629353608
607	0.2628323973
608	0.2627409675
609	0.2626957624
610	0.262634143
611	0.2625566401
612	0.2624883614
613	0.262376189
614	0.2623137879
615	0.262182083
616	0.2621149415
617	0.2620146555
618	0.2619246811
619	0.2618350144
620	0.2617447201
621	0.2616822475
622	0.2616093714
623	0.261559197
624	0.2614559672
625	0.2613837114
626	0.261308286
627	0.2612110324
628	0.2611235627
629	0.2610163657
630	0.2609199869
631	0.2608573305
632	0.2608007019
633	0.2607413536
634	0.2607143224
635	0.2606420937
636	0.2605824813
637	0.2604945857
638	0.2604391104
639	0.260356935
640	0.2602948203
641	0.2602051575
642	0.2600984695
643	0.2600359102
644	0.2599424641
645	0.2598682132
646	0.2597925301
647	0.2597336875
648	0.2596821259
649	0.259567588
650	0.2594880362
651	0.2593807957
652	0.259332248
653	0.2592615982
654	0.2591828131
655	0.259108861
656	0.2590059447
657	0.2589162298
658	0.2588258856
659	0.2587625468
660	0.2586633599
661	0.2585785729
662	0.2584853611
663	0.2583990769
664	0.2583050289
665	0.2581910837
666	0.2581394864
667	0.2580854684
668	0.2580297969
669	0.2579484514
670	0.2578420948
671	0.2577995753
672	0.2576899206
673	0.2576029736
674	0.2575129843
675	0.2574055991
676	0.2573180668
677	0.2572298002
678	0.2571838699
679	0.2571061642
680	0.2570352424
681	0.2569652631
682	0.2568903369
683	0.2568035651
684	0.2566783114
685	0.2565988858
686	0.2565234759
687	0.2564421679
688	0.2563402465
689	0.256236793
690	0.2561451012
691	0.2560544791
692	0.2559698241
693	0.2559032659
694	0.2558258953
695	0.2557548679
696	0.2556541521
697	0.2555350412
698	0.2554551973
699	0.2553990996
700	0.2553403235
701	0.255257146
702	0.2551927988
703	0.2551046139
704	0.2549942865
705	0.2549373519
706	0.2548607279
707	0.2547634413
708	0.2547100444
709	0.2546396673
710	0.2545862052
711	0.2544864035
712	0.2543950529
713	0.2543244741
714	0.2542394156
715	0.2541318286
716	0.2540719843
717	0.2539751166
718	0.2538816649
719	0.2538241125
720	0.2537334937
721	0.2536774044
722	0.2536271512
723	0.2535303711
724	0.2534629969
725	0.2534087358
726	0.2533774794
727	0.253304668
728	0.2532393998
729	0.2531321846
730	0.2530720586
731	0.2530182197
732	0.2529334123
733	0.2528980824
734	0.2528474103
735	0.2527501683
736	0.2526973467
737	0.2526156455
738	0.2525155154
739	0.2524386485
740	0.2523492363
741	0.2522778791
742	0.2521767557
743	0.2521579795
744	0.2520803074
745	0.2520023335
746	0.2519470822
747	0.2518536085
748	0.2517788576
749	0.2517002985
750	0.2516333372
751	0.2516013124
752	0.2515158174
753	0.2514128401
754	0.2513688173
755	0.2512622853
756	0.251210398
757	0.251150813
758	0.2510523686
759	0.2509789546
760	0.2509011874
761	0.2508111829
762	0.250744335
763	0.2506416462
764	0.2504964922
765	0.2504032704
766	0.2503319175
767	0.2502509787
768	0.2501799415
769	0.2501157868
770	0.2500289396
771	0.2499935901
772	0.249954395
773	0.2498954373
774	0.2498228664
775	0.2497518864
776	0.249670384
777	0.2496068962
778	0.2495722965
779	0.2495003578
780	0.2494790045
781	0.2494317109
782	0.2493822837
783	0.2493081677
784	0.2492231987
785	0.2491405335
786	0.2490417035
787	0.2490076824
788	0.2489423994
789	0.248882079
790	0.2488083998
791	0.2487168239
792	0.2486544355
793	0.2485861898
794	0.2485259771
795	0.2484347707
796	0.248375374
797	0.2482821389
798	0.2482034514
799	0.2481455926
800	0.2480796222
801	0.2480276334
802	0.2479751079
803	0.2479029354
804	0.2478496946
805	0.2477822775
806	0.2477241954
807	0.2476667769
808	0.2476233855
809	0.2475743233
810	0.2475082092
811	0.2474513678
812	0.2473816348
813	0.2473115179
814	0.2472709517
815	0.2472443343
816	0.247189397
817	0.2471284668
818	0.2470475199
819	0.2469555307
820	0.2468738283
821	0.2468056409
822	0.2467402062
823	0.2466830329
824	0.246650348
825	0.246548647
826	0.2464906493
827	0.2464428825
828	0.2463700829
829	0.2463473922
830	0.2462717824
831	0.2462082287
832	0.2461438951
833	0.2460577796
834	0.2460158887
835	0.245932683
836	0.2458694175
837	0.2458240763
838	0.2457617119
839	0.2457110728
840	0.2456405917
841	0.2455714446
842	0.2454918022
843	0.2453988159
844	0.2453193263
845	0.2452652878
846	0.2452087793
847	0.2451617921
848	0.245093526
849	0.2450343505
850	0.2449860593
851	0.244919893
852	0.2448468867
853	0.2447949723
854	0.2447423872
855	0.244690755
856	0.2446600298
857	0.2446124008
858	0.2445400874
859	0.2444934495
860	0.2444650875
861	0.2444153009
862	0.2443387921
863	0.2442828241
864	0.2441953676
865	0.2441309256
866	0.2440796932
867	0.24402022
868	0.2439708445
869	0.2439276953
870	0.2438665423
871	0.2438168018
872	0.2437658014
873	0.243702287
874	0.2436637786
875	0.2436184514
876	0.2435704556
877	0.2434973091
