iter	Passed	Remaining
0	17	42793
1	32	40417
2	47	39830
3	62	39190
4	77	38473
5	92	38381
6	107	38166
7	122	38168
8	138	38218
9	153	38282
10	168	38085
11	184	38242
12	199	38190
13	214	38030
14	230	38139
15	244	38003
16	260	38017
17	275	37943
18	290	37905
19	304	37813
20	319	37733
21	338	38080
22	353	38073
23	368	37986
24	383	37923
25	397	37864
26	413	37843
27	427	37759
28	443	37779
29	458	37768
30	473	37725
31	489	37725
32	504	37712
33	520	37725
34	535	37695
35	550	37694
36	566	37694
37	582	37714
38	597	37717
39	613	37703
40	629	37735
41	644	37729
42	660	37732
43	675	37711
44	691	37722
45	706	37710
46	722	37696
47	737	37674
48	752	37623
49	767	37604
50	782	37598
51	798	37582
52	813	37560
53	831	37661
54	846	37632
55	862	37637
56	877	37628
57	892	37580
58	907	37560
59	922	37532
60	937	37493
61	952	37459
62	968	37455
63	983	37425
64	997	37363
65	1013	37360
66	1028	37336
67	1043	37326
68	1058	37289
69	1073	37277
70	1088	37251
71	1105	37264
72	1120	37247
73	1135	37239
74	1152	37250
75	1167	37244
76	1182	37224
77	1198	37201
78	1214	37206
79	1229	37202
80	1245	37204
81	1262	37240
82	1278	37222
83	1293	37194
84	1308	37172
85	1322	37134
86	1339	37162
87	1355	37148
88	1370	37135
89	1386	37124
90	1401	37114
91	1416	37080
92	1432	37085
93	1448	37066
94	1463	37046
95	1478	37035
96	1493	36998
97	1509	36986
98	1524	36972
99	1539	36948
100	1554	36927
101	1571	36937
102	1586	36924
103	1603	36931
104	1618	36907
105	1633	36884
106	1649	36882
107	1665	36878
108	1680	36867
109	1696	36850
110	1712	36856
111	1728	36851
112	1744	36852
113	1760	36836
114	1775	36827
115	1790	36804
116	1807	36821
117	1824	36834
118	1840	36821
119	1855	36798
120	1870	36772
121	1885	36749
122	1901	36740
123	1917	36735
124	1933	36733
125	1948	36718
126	1965	36717
127	1980	36696
128	1994	36658
129	2011	36662
130	2025	36631
131	2040	36608
132	2055	36581
133	2070	36566
134	2086	36557
135	2103	36560
136	2118	36533
137	2133	36517
138	2148	36487
139	2163	36467
140	2180	36480
141	2195	36454
142	2210	36434
143	2226	36431
144	2242	36425
145	2257	36402
146	2273	36386
147	2287	36359
148	2303	36338
149	2318	36315
150	2334	36310
151	2349	36288
152	2364	36272
153	2379	36252
154	2395	36234
155	2409	36208
156	2424	36186
157	2439	36165
158	2455	36147
159	2470	36132
160	2485	36110
161	2500	36092
162	2516	36087
163	2531	36062
164	2546	36039
165	2562	36024
166	2577	36002
167	2592	35983
168	2606	35957
169	2623	35956
170	2639	35951
171	2654	35933
172	2670	35920
173	2685	35904
174	2701	35885
175	2716	35873
176	2731	35852
177	2747	35844
178	2763	35833
179	2779	35825
180	2795	35817
181	2811	35802
182	2833	35875
183	2849	35872
184	2864	35843
185	2880	35836
186	2895	35808
187	2911	35802
188	2927	35797
189	2942	35772
190	2957	35757
191	2973	35739
192	2988	35718
193	3003	35705
194	3019	35693
195	3035	35681
196	3050	35660
197	3067	35658
198	3082	35642
199	3097	35625
200	3112	35594
201	3126	35565
202	3142	35554
203	3156	35525
204	3172	35512
205	3187	35495
206	3203	35481
207	3218	35462
208	3233	35448
209	3249	35434
210	3264	35419
211	3280	35405
212	3296	35397
213	3311	35379
214	3326	35354
215	3341	35335
216	3357	35325
217	3373	35308
218	3388	35293
219	3404	35281
220	3420	35273
221	3436	35260
222	3452	35248
223	3468	35240
224	3484	35227
225	3499	35212
226	3515	35201
227	3531	35194
228	3547	35179
229	3562	35163
230	3578	35148
231	3594	35135
232	3609	35115
233	3623	35092
234	3638	35069
235	3652	35043
236	3667	35015
237	3681	34991
238	3697	34978
239	3711	34954
240	3726	34930
241	3741	34913
242	3757	34897
243	3771	34872
244	3786	34854
245	3802	34837
246	3817	34818
247	3841	34883
248	3856	34864
249	3872	34848
250	3887	34830
251	3902	34810
252	3917	34790
253	3932	34770
254	3948	34760
255	3962	34732
256	3977	34714
257	3991	34686
258	4005	34661
259	4020	34637
260	4034	34613
261	4050	34602
262	4065	34581
263	4080	34558
264	4095	34541
265	4111	34531
266	4126	34509
267	4141	34494
268	4157	34482
269	4173	34466
270	4189	34456
271	4204	34436
272	4218	34413
273	4233	34392
274	4249	34379
275	4264	34362
276	4279	34340
277	4293	34316
278	4309	34304
279	4327	34309
280	4341	34284
281	4356	34262
282	4370	34238
283	4386	34223
284	4401	34205
285	4415	34184
286	4431	34170
287	4447	34161
288	4464	34152
289	4480	34141
290	4494	34121
291	4510	34106
292	4526	34093
293	4541	34079
294	4558	34071
295	4573	34057
296	4589	34040
297	4604	34027
298	4621	34020
299	4637	34009
300	4653	33997
301	4669	33982
302	4684	33966
303	4699	33950
304	4715	33935
305	4730	33915
306	4745	33895
307	4760	33877
308	4775	33863
309	4791	33847
310	4806	33833
311	4822	33819
312	4838	33806
313	4852	33781
314	4867	33766
315	4883	33752
316	4899	33736
317	4914	33722
318	4930	33711
319	4947	33705
320	4972	33752
321	4993	33772
322	5016	33813
323	5039	33848
324	5062	33879
325	5081	33889
326	5098	33879
327	5115	33875
328	5132	33866
329	5148	33854
330	5163	33838
331	5180	33831
332	5196	33818
333	5213	33808
334	5228	33792
335	5244	33775
336	5259	33756
337	5274	33737
338	5289	33716
339	5304	33696
340	5319	33680
341	5335	33668
342	5351	33650
343	5366	33635
344	5382	33620
345	5398	33604
346	5414	33596
347	5429	33577
348	5445	33563
349	5461	33549
350	5477	33533
351	5493	33520
352	5508	33504
353	5525	33495
354	5542	33486
355	5558	33474
356	5574	33463
357	5591	33452
358	5607	33441
359	5624	33431
360	5639	33417
361	5655	33400
362	5671	33386
363	5686	33371
364	5702	33358
365	5719	33348
366	5735	33337
367	5751	33323
368	5768	33313
369	5783	33295
370	5799	33281
371	5815	33265
372	5839	33298
373	5855	33286
374	5871	33270
375	5886	33252
376	5903	33242
377	5918	33226
378	5934	33210
379	5949	33191
380	5965	33180
381	5981	33162
382	5996	33142
383	6011	33126
384	6027	33109
385	6043	33097
386	6063	33109
387	6083	33114
388	6110	33158
389	6137	33207
390	6158	33215
391	6178	33226
392	6196	33219
393	6212	33206
394	6229	33197
395	6245	33182
396	6261	33167
397	6278	33157
398	6294	33144
399	6310	33130
400	6326	33115
401	6343	33104
402	6359	33089
403	6374	33070
404	6389	33051
405	6405	33036
406	6420	33019
407	6436	33002
408	6451	32985
409	6466	32964
410	6481	32945
411	6496	32923
412	6511	32905
413	6526	32887
414	6541	32866
