feature,mae_increase
cos_time,659.8518925528697
작업유형_encoded,112.83640340779812
전력사용량(kWh),88.0514539471119
요일,66.15967341904116
진상무효전력량(kVarh),43.556135583924515
일,27.653234935414275
시간,26.009828327456034
진상역률(%),22.502768390076653
cos_month,21.659022372758955
겨울여부,20.4074693850971
야간여부,14.246911393072423
유효역률(%),4.815048556056354
월,4.741406986173388
주간여부,4.005129237280926
시간_작업유형_encoded,2.355768548276501
역률부족폭_94,0.9894523580178429
period_flag,-0.3624791019710756
역률_조정요율,-0.9519720835160115
tou_price_code_encoded,-1.310448318631643
총무효전력,-1.6970566237200728
지상역률_주간클립,-3.28067447251442
sin_time,-5.749054622803214
sin_month,-5.8526475314929485
역률우수,-6.992770243527502
주말여부,-7.931907052797669
법적페널티,-8.634547539433697
지상역률_보정,-9.512241019971498
지상무효전력량(kVarh),-12.754422511065968
실질위험,-13.657338995739337
tou_relative_price,-37.722792283281706
